model,anchors,memory_error_percent,full_error_percent,relative_error_reduction_percent,full_wins_frames_percent,memory_class_mean_iou,full_class_mean_iou,scored_frames
16,16,45.841619280102016,14.351742676426632,68.69276674383067,95.04346499923746,0.33647763647970946,0.6431843799619233,6557
32,32,37.197653816164575,9.37821256036309,74.78816108480555,94.60118956840017,0.4035463212153418,0.7414466883604512,6557
55,55,32.10618135119593,9.674814144830906,69.86619480217155,91.16974226017996,0.4590346086295156,0.7449350466285034,6557
110,110,23.492463521883224,7.758357556263425,66.97512140846142,87.84505109043769,0.5573198037193959,0.7764825791446947,6557
220,220,14.237929532235945,5.634751677919152,60.4243604018297,86.89949672106147,0.6845653612449586,0.8276794012667926,6557
