model,anchors,teacher_error_percent,rollout_error_percent,gap_percentage_points,rollout_class_mean_iou,rollout_p95_error_percent,polarity_accuracy_percent,oracle_polarity_shape_error_percent,scored_frames,checkpoint,checkpoint_sha256
0,0,3.1731649793150054,44.81835694240569,41.64519196309069,0.32896910678020275,64.12984212239583,100.0,44.81835694240569,6557,prototype_runs\anchors_000_polarity\model_best.pt,d7385818d86a65b36fe60ca19455b0571b206851534ef72502de3ec364b6072c
16,16,3.2089040249208862,14.351742676426632,11.142838651505746,0.6431843799619233,34.8248291015625,100.0,14.351742676426632,6557,prototype_runs\anchors_016_polarity\model_best.pt,9f8685fa9e41008ce6dcd22f6f03fce1377bdf5dbc6ce85a30b550d4a84c06aa
32,32,3.267228188242487,9.37821256036309,6.110984372120603,0.7414466883604512,22.06695556640625,100.0,9.37821256036309,6557,prototype_runs\anchors_032_polarity\model_best.pt,ace58aaed315227b263905c58c617887050f264ae6a85fb820f158d2d23f0287
55,55,3.200428574712219,9.674814144830906,6.474385570118686,0.7449350466285034,22.97241210937499,100.0,9.674814144830906,6557,prototype_runs\anchors_055_polarity\model_best.pt,fcca546e3f95c1f2cc608363aa0bed28474b43041440218662e24bdcd9765bab
110,110,3.1397430263230532,7.758357556263425,4.618614529940372,0.7764825791446947,19.061686197916668,100.0,7.758357556263425,6557,prototype_runs\anchors_110_polarity\model_best.pt,e024f874876e4f432067ae28aa71c94bebc183713900a382f413c93299db5600
220,220,3.133512683794911,5.634751677919152,2.5012389941242414,0.8276794012667926,13.226826985677082,100.0,5.634751677919152,6557,prototype_runs\anchors_220_polarity\model_best.pt,4502f0674d98020e3a5571e250e97212f2404111eeb784f5fdfaaf2717153ba2
